month,year,date,large_half_dozen,large_dozen,extra_large_half_dozen,extra_large_dozen,avg_price
January,2004,January 2004,126,230,132,230,179.50
February,2004,February 2004,128.5,226.25,134.5,230,179.81
March,2004,March 2004,131,225,137,230,180.75
April,2004,April 2004,131,225,137,234.5,181.88
May,2004,May 2004,131,225,137,236,182.25
June,2004,June 2004,133.5,231.375,137,241,185.72
July,2004,July 2004,133.5,233.5,137,241,186.25
August,2004,August 2004,133.5,233.5,137,241,186.25
September,2004,September 2004,129.75,233.5,135.875,241,185.03
October,2004,October 2004,128.5,233.5,135.5,241,184.63
November,2004,November 2004,128.5,233.5,135.5,241,184.63
December,2004,December 2004,128.5,233.5,135.5,241,184.63
January,2005,January 2005,128.5,233.5,135.5,241,184.63
February,2005,February 2005,128.5,233.5,135.5,241,184.63
March,2005,March 2005,128.5,233.5,135.5,241,184.63
April,2005,April 2005,128.5,233.5,135.5,241,184.63
May,2005,May 2005,128.5,233.5,135.5,241,184.63
June,2005,June 2005,128.5,233.5,135.5,241,184.63
July,2005,July 2005,128.5,233.5,135.5,241,184.63
August,2005,August 2005,128.5,233.5,135.5,241,184.63
September,2005,September 2005,128.5,233.5,135.5,241,184.63
October,2005,October 2005,128.5,233.5,135.5,241,184.63
November,2005,November 2005,128.5,233.5,135.5,241,184.63
December,2005,December 2005,128.5,233.5,135.5,241,184.63
January,2006,January 2006,128.5,233.5,135.5,241,184.63
February,2006,February 2006,128.5,233.5,135.5,241,184.63
March,2006,March 2006,128.5,233.5,135.5,241.375,184.72
April,2006,April 2006,128.5,233.5,135.5,241.5,184.75
May,2006,May 2006,128.5,233.5,135.5,241.5,184.75
June,2006,June 2006,128.5,233.5,135.5,241.5,184.75
July,2006,July 2006,128.5,233.5,135.5,241.5,184.75
August,2006,August 2006,128.5,233.5,135.5,241.5,184.75
September,2006,September 2006,128.5,233.5,135.5,241.5,184.75
October,2006,October 2006,128.5,233.5,135.5,241.5,184.75
November,2006,November 2006,128.5,233.5,135.5,241.5,184.75
December,2006,December 2006,128.5,233.5,135.5,241.5,184.75
January,2007,January 2007,128.5,233.5,135.5,241.5,184.75
February,2007,February 2007,131.125,236.125,138.125,244.125,187.38
March,2007,March 2007,132,237,139,245,188.25
April,2007,April 2007,132,237,139,245,188.25
May,2007,May 2007,132,237,139,245,188.25
June,2007,June 2007,132,237,139,245,188.25
July,2007,July 2007,132,237,139,245,188.25
August,2007,August 2007,132,237,139,245,188.25
September,2007,September 2007,132,237,139,245,188.25
October,2007,October 2007,132,237,139,245,188.25
November,2007,November 2007,132,237,139,245,188.25
December,2007,December 2007,132,237,139,245,188.25
January,2008,January 2008,132,237,139,245,188.25
February,2008,February 2008,132,237,139,245,188.25
March,2008,March 2008,132,237,139,245,188.25
April,2008,April 2008,132,237,139,245,188.25
May,2008,May 2008,132,237,139,245,188.25
June,2008,June 2008,174.5,277.5,185.5,285.5,230.75
July,2008,July 2008,174.5,277.5,185.5,285.5,230.75
August,2008,August 2008,174.5,277.5,185.5,285.5,230.75
